,x,y,z,value
0,0.000000,0.000000,0.000000,0.492313
1,0.023810,0.000000,0.000000,0.492610
2,0.047619,0.000000,0.000000,0.493295
3,0.071429,0.000000,0.000000,0.493801
4,0.095238,0.000000,0.000000,0.493352
5,0.119048,0.000000,0.000000,0.491173
6,0.142857,0.000000,0.000000,0.486722
7,0.166667,0.000000,0.000000,0.479882
8,0.190476,0.000000,0.000000,0.471031
9,0.214286,0.000000,0.000000,0.460985
10,0.238095,0.000000,0.000000,0.450790
11,0.261905,0.000000,0.000000,0.441432
12,0.285714,0.000000,0.000000,0.433567
13,0.309524,0.000000,0.000000,0.427354
14,0.333333,0.000000,0.000000,0.422469
15,0.357143,0.000000,0.000000,0.418300
16,0.380952,0.000000,0.000000,0.414237
17,0.404762,0.000000,0.000000,0.409963
18,0.428571,0.000000,0.000000,0.405602
19,0.452381,0.000000,0.000000,0.401683
20,0.476190,0.000000,0.000000,0.398922
21,0.500000,0.000000,0.000000,0.397924
22,0.523810,0.000000,0.000000,0.398922
23,0.547619,0.000000,0.000000,0.401683
24,0.571429,0.000000,0.000000,0.405602
25,0.595238,0.000000,0.000000,0.409963
26,0.619048,0.000000,0.000000,0.414237
27,0.642857,0.000000,0.000000,0.418300
28,0.666667,0.000000,0.000000,0.422469
29,0.690476,0.000000,0.000000,0.427354
30,0.714286,0.000000,0.000000,0.433567
31,0.738095,0.000000,0.000000,0.441432
32,0.761905,0.000000,0.000000,0.450790
33,0.785714,0.000000,0.000000,0.460985
34,0.809524,0.000000,0.000000,0.471031
35,0.833333,0.000000,0.000000,0.479882
36,0.857143,0.000000,0.000000,0.486722
37,0.880952,0.000000,0.000000,0.491173
38,0.904762,0.000000,0.000000,0.493352
39,0.928571,0.000000,0.000000,0.493801
40,0.952381,0.000000,0.000000,0.493295
41,0.976190,0.000000,0.000000,0.492610
42,1.000000,0.000000,0.000000,0.492313
43,0.000000,0.023810,0.000000,0.492610
44,0.023810,0.023810,0.000000,0.493279
45,0.047619,0.023810,0.000000,0.494238
46,0.071429,0.023810,0.000000,0.495020
47,0.095238,0.023810,0.000000,0.494910
48,0.119048,0.023810,0.000000,0.493137
49,0.142857,0.023810,0.000000,0.489119
50,0.166667,0.023810,0.000000,0.482671
51,0.190476,0.023810,0.000000,0.474111
52,0.214286,0.023810,0.000000,0.464216
53,0.238095,0.023810,0.000000,0.454022
54,0.261905,0.023810,0.000000,0.444529
55,0.285714,0.023810,0.000000,0.436421
56,0.309524,0.023810,0.000000,0.429891
57,0.333333,0.023810,0.000000,0.424651
58,0.357143,0.023810,0.000000,0.420116
59,0.380952,0.023810,0.000000,0.415698
60,0.404762,0.023810,0.000000,0.411080
61,0.428571,0.023810,0.000000,0.406367
62,0.452381,0.023810,0.000000,0.402045
63,0.476190,0.023810,0.000000,0.398788
64,0.500000,0.023810,0.000000,0.397172
65,0.523810,0.023810,0.000000,0.397450
66,0.547619,0.023810,0.000000,0.399457
67,0.571429,0.023810,0.000000,0.402698
68,0.595238,0.023810,0.000000,0.406569
69,0.619048,0.023810,0.000000,0.410613
70,0.642857,0.023810,0.000000,0.414700
71,0.666667,0.023810,0.000000,0.419055
72,0.690476,0.023810,0.000000,0.424136
73,0.714286,0.023810,0.000000,0.430401
74,0.738095,0.023810,0.000000,0.438079
75,0.761905,0.023810,0.000000,0.447022
76,0.785714,0.023810,0.000000,0.456695
77,0.809524,0.023810,0.000000,0.466300
78,0.833333,0.023810,0.000000,0.474983
79,0.857143,0.023810,0.000000,0.482051
80,0.880952,0.023810,0.000000,0.487132
81,0.904762,0.023810,0.000000,0.490243
82,0.928571,0.023810,0.000000,0.491746
83,0.952381,0.023810,0.000000,0.492231
84,0.976190,0.023810,0.000000,0.492344
85,1.000000,0.023810,0.000000,0.492610
86,0.000000,0.047619,0.000000,0.493295
87,0.023810,0.047619,0.000000,0.494238
88,0.047619,0.047619,0.000000,0.494956
89,0.071429,0.047619,0.000000,0.495132
90,0.095238,0.047619,0.000000,0.494302
91,0.119048,0.047619,0.000000,0.491979
92,0.142857,0.047619,0.000000,0.487803
93,0.166667,0.047619,0.000000,0.481674
94,0.190476,0.047619,0.000000,0.473832
95,0.214286,0.047619,0.000000,0.464830
96,0.238095,0.047619,0.000000,0.455412
97,0.261905,0.047619,0.000000,0.446322
98,0.285714,0.047619,0.000000,0.438109
99,0.309524,0.047619,0.000000,0.430996
100,0.333333,0.047619,0.000000,0.424875
101,0.357143,0.047619,0.000000,0.419416
102,0.380952,0.047619,0.000000,0.414263
103,0.404762,0.047619,0.000000,0.409218
104,0.428571,0.047619,0.000000,0.404359
105,0.452381,0.047619,0.000000,0.400025
106,0.476190,0.047619,0.000000,0.396690
107,0.500000,0.047619,0.000000,0.394779
108,0.523810,0.047619,0.000000,0.394505
109,0.547619,0.047619,0.000000,0.395799
110,0.571429,0.047619,0.000000,0.398356
111,0.595238,0.047619,0.000000,0.401777
112,0.619048,0.047619,0.000000,0.405743
113,0.642857,0.047619,0.000000,0.410131
114,0.666667,0.047619,0.000000,0.415041
115,0.690476,0.047619,0.000000,0.420716
116,0.714286,0.047619,0.000000,0.427388
117,0.738095,0.047619,0.000000,0.435127
118,0.761905,0.047619,0.000000,0.443751
119,0.785714,0.047619,0.000000,0.452827
120,0.809524,0.047619,0.000000,0.461763
121,0.833333,0.047619,0.000000,0.469949
122,0.857143,0.047619,0.000000,0.476905
123,0.880952,0.047619,0.000000,0.482377
124,0.904762,0.047619,0.000000,0.486368
125,0.928571,0.047619,0.000000,0.489101
126,0.952381,0.047619,0.000000,0.490929
127,0.976190,0.047619,0.000000,0.492231
128,1.000000,0.047619,0.000000,0.493295
129,0.000000,0.071429,0.000000,0.493801
