,x,y,z,value
0,0.000000,0.000000,0.000000,0.482369
1,0.023810,0.000000,0.000000,0.482349
2,0.047619,0.000000,0.000000,0.482258
3,0.071429,0.000000,0.000000,0.482013
4,0.095238,0.000000,0.000000,0.481484
5,0.119048,0.000000,0.000000,0.480511
6,0.142857,0.000000,0.000000,0.478921
7,0.166667,0.000000,0.000000,0.476552
8,0.190476,0.000000,0.000000,0.473273
9,0.214286,0.000000,0.000000,0.469000
10,0.238095,0.000000,0.000000,0.463717
11,0.261905,0.000000,0.000000,0.457484
12,0.285714,0.000000,0.000000,0.450440
13,0.309524,0.000000,0.000000,0.442801
14,0.333333,0.000000,0.000000,0.434849
15,0.357143,0.000000,0.000000,0.426918
16,0.380952,0.000000,0.000000,0.419369
17,0.404762,0.000000,0.000000,0.412570
18,0.428571,0.000000,0.000000,0.406866
19,0.452381,0.000000,0.000000,0.402557
20,0.476190,0.000000,0.000000,0.399874
21,0.500000,0.000000,0.000000,0.398963
22,0.523810,0.000000,0.000000,0.399874
23,0.547619,0.000000,0.000000,0.402557
24,0.571429,0.000000,0.000000,0.406866
25,0.595238,0.000000,0.000000,0.412570
26,0.619048,0.000000,0.000000,0.419369
27,0.642857,0.000000,0.000000,0.426918
28,0.666667,0.000000,0.000000,0.434849
29,0.690476,0.000000,0.000000,0.442801
30,0.714286,0.000000,0.000000,0.450440
31,0.738095,0.000000,0.000000,0.457484
32,0.761905,0.000000,0.000000,0.463717
33,0.785714,0.000000,0.000000,0.469000
34,0.809524,0.000000,0.000000,0.473273
35,0.833333,0.000000,0.000000,0.476552
36,0.857143,0.000000,0.000000,0.478921
37,0.880952,0.000000,0.000000,0.480511
38,0.904762,0.000000,0.000000,0.481484
39,0.928571,0.000000,0.000000,0.482013
40,0.952381,0.000000,0.000000,0.482258
41,0.976190,0.000000,0.000000,0.482349
42,1.000000,0.000000,0.000000,0.482369
43,0.000000,0.023810,0.000000,0.482316
44,0.023810,0.023810,0.000000,0.482816
45,0.047619,0.023810,0.000000,0.483201
46,0.071429,0.023810,0.000000,0.483388
47,0.095238,0.023810,0.000000,0.483248
48,0.119048,0.023810,0.000000,0.482626
49,0.142857,0.023810,0.000000,0.481350
50,0.166667,0.023810,0.000000,0.479260
51,0.190476,0.023810,0.000000,0.476221
52,0.214286,0.023810,0.000000,0.472147
53,0.238095,0.023810,0.000000,0.467015
54,0.261905,0.023810,0.000000,0.460873
55,0.285714,0.023810,0.000000,0.453851
56,0.309524,0.023810,0.000000,0.446153
57,0.333333,0.023810,0.000000,0.438051
58,0.357143,0.023810,0.000000,0.429868
59,0.380952,0.023810,0.000000,0.421963
60,0.404762,0.023810,0.000000,0.414700
61,0.428571,0.023810,0.000000,0.408430
62,0.452381,0.023810,0.000000,0.403462
63,0.476190,0.023810,0.000000,0.400042
64,0.500000,0.023810,0.000000,0.398338
65,0.523810,0.023810,0.000000,0.398426
66,0.547619,0.023810,0.000000,0.400283
67,0.571429,0.023810,0.000000,0.403794
68,0.595238,0.023810,0.000000,0.408757
69,0.619048,0.023810,0.000000,0.414901
70,0.642857,0.023810,0.000000,0.421905
71,0.666667,0.023810,0.000000,0.429422
72,0.690476,0.023810,0.000000,0.437103
73,0.714286,0.023810,0.000000,0.444624
74,0.738095,0.023810,0.000000,0.451700
75,0.761905,0.023810,0.000000,0.458110
76,0.785714,0.023810,0.000000,0.463701
77,0.809524,0.023810,0.000000,0.468396
78,0.833333,0.023810,0.000000,0.472190
79,0.857143,0.023810,0.000000,0.475141
80,0.880952,0.023810,0.000000,0.477358
81,0.904762,0.023810,0.000000,0.478980
82,0.928571,0.023810,0.000000,0.480158
83,0.952381,0.023810,0.000000,0.481036
84,0.976190,0.023810,0.000000,0.481731
85,1.000000,0.023810,0.000000,0.482316
86,0.000000,0.047619,0.000000,0.482133
87,0.023810,0.047619,0.000000,0.483091
88,0.047619,0.047619,0.000000,0.483802
89,0.071429,0.047619,0.000000,0.484192
90,0.095238,0.047619,0.000000,0.484148
91,0.119048,0.047619,0.000000,0.483534
92,0.142857,0.047619,0.000000,0.482205
93,0.166667,0.047619,0.000000,0.480023
94,0.190476,0.047619,0.000000,0.476878
95,0.214286,0.047619,0.000000,0.472702
96,0.238095,0.047619,0.000000,0.467483
97,0.261905,0.047619,0.000000,0.461277
98,0.285714,0.047619,0.000000,0.454208
99,0.309524,0.047619,0.000000,0.446472
100,0.333333,0.047619,0.000000,0.438322
101,0.357143,0.047619,0.000000,0.430064
102,0.380952,0.047619,0.000000,0.422031
103,0.404762,0.047619,0.000000,0.414568
104,0.428571,0.047619,0.000000,0.408006
105,0.452381,0.047619,0.000000,0.402642
106,0.476190,0.047619,0.000000,0.398719
107,0.500000,0.047619,0.000000,0.396409
108,0.523810,0.047619,0.000000,0.395801
109,0.547619,0.047619,0.000000,0.396897
110,0.571429,0.047619,0.000000,0.399613
111,0.595238,0.047619,0.000000,0.403784
112,0.619048,0.047619,0.000000,0.409181
113,0.642857,0.047619,0.000000,0.415523
114,0.666667,0.047619,0.000000,0.422502
115,0.690476,0.047619,0.000000,0.429802
116,0.714286,0.047619,0.000000,0.437123
117,0.738095,0.047619,0.000000,0.444197
118,0.761905,0.047619,0.000000,0.450803
119,0.785714,0.047619,0.000000,0.456781
120,0.809524,0.047619,0.000000,0.462033
121,0.833333,0.047619,0.000000,0.466525
122,0.857143,0.047619,0.000000,0.470278
123,0.880952,0.047619,0.000000,0.473358
124,0.904762,0.047619,0.000000,0.475861
125,0.928571,0.047619,0.000000,0.477896
126,0.952381,0.047619,0.000000,0.479568
127,0.976190,0.047619,0.000000,0.480963
128,1.000000,0.047619,0.000000,0.482133
129,0.000000,0.071429,0.000000,0.481759
130,0.023810,0.071429,0.000000,0.483093
131,0.047619,0.071429,0.000000,0.483971
132,0.071429,0.071429,0.000000,0.484328
133,0.095238,0.071429,0.000000,0.484075
134,0.119048,0.071429,0.000000,0.483111
135,0.142857,0.071429,0.000000,0.481335
136,0.166667,0.071429,0.000000,0.478657
137,0.190476,0.071429,0.000000,0.475014
138,0.214286,0.071429,0.000000,0.470382
139,0.238095,0.071429,0.000000,0.464783
140,0.261905,0.071429,0.000000,0.458295
141,0.285714,0.071429,0.000000,0.451054
142,0.309524,0.071429,0.000000,0.443251
143,0.333333,0.071429,0.000000,0.435124
144,0.357143,0.071429,0.000000,0.426949
145,0.380952,0.071429,0.000000,0.419025
146,0.404762,0.071429,0.000000,0.411657
147,0.428571,0.071429,0.000000,0.405135
148,0.452381,0.071429,0.000000,0.399722
149,0.476190,0.071429,0.000000,0.395634
150,0.500000,0.071429,0.000000,0.393025
151,0.523810,0.071429,0.000000,0.391983
152,0.547619,0.071429,0.000000,0.392521
153,0.571429,0.071429,0.000000,0.394580
154,0.595238,0.071429,0.000000,0.398033
155,0.619048,0.071429,0.000000,0.402698
156,0.642857,0.071429,0.000000,0.408347
157,0.666667,0.071429,0.000000,0.414725
158,0.690476,0.071429,0.000000,0.421566
159,0.714286,0.071429,0.000000,0.428611
160,0.738095,0.071429,0.000000,0.435623
161,0.761905,0.071429,0.000000,0.442397
162,0.785714,0.071429,0.000000,0.448774
163,0.809524,0.071429,0.000000,0.454639
164,0.833333,0.071429,0.000000,0.459926
165,0.857143,0.071429,0.000000,0.464611
166,0.880952,0.071429,0.000000,0.468706
167,0.904762,0.071429,0.000000,0.472246
168,0.928571,0.071429,0.000000,0.475279
169,0.952381,0.071429,0.000000,0.477855
170,0.976190,0.071429,0.000000,0.480009
171,1.000000,0.071429,0.000000,0.481759
172,0.000000,0.095238,0.000000,0.481095
173,0.023810,0.095238,0.000000,0.482712
174,0.047619,0.095238,0.000000,0.483599
175,0.071429,0.095238,0.000000,0.483696
176,0.095238,0.095238,0.000000,0.482945
177,0.119048,0.095238,0.000000,0.481289
178,0.142857,0.095238,0.000000,0.478687
179,0.166667,0.095238,0.000000,0.475115
180,0.190476,0.095238,0.000000,0.470581
181,0.214286,0.095238,0.000000,0.465125
182,0.238095,0.095238,0.000000,0.458826
183,0.261905,0.095238,0.000000,0.451806
184,0.285714,0.095238,0.000000,0.444226
185,0.309524,0.095238,0.000000,0.436282
186,0.333333,0.095238,0.000000,0.428201
187,0.357143,0.095238,0.000000,0.420230
188,0.380952,0.095238,0.000000,0.412622
189,0.404762,0.095238,0.000000,0.405629
190,0.428571,0.095238,0.000000,0.399485
191,0.452381,0.095238,0.000000,0.394394
192,0.476190,0.095238,0.000000,0.390523
193,0.500000,0.095238,0.000000,0.387988
194,0.523810,0.095238,0.000000,0.386856
195,0.547619,0.095238,0.000000,0.387134
196,0.571429,0.095238,0.000000,0.388778
197,0.595238,0.095238,0.000000,0.391693
198,0.619048,0.095238,0.000000,0.395742
199,0.642857,0.095238,0.000000,0.400755
200,0.666667,0.095238,0.000000,0.406541
201,0.690476,0.095238,0.000000,0.412895
202,0.714286,0.095238,0.000000,0.419616
203,0.738095,0.095238,0.000000,0.426511
204,0.761905,0.095238,0.000000,0.433407
205,0.785714,0.095238,0.000000,0.440153
206,0.809524,0.095238,0.000000,0.446627
207,0.833333,0.095238,0.000000,0.452733
208,0.857143,0.095238,0.000000,0.458400
209,0.880952,0.095238,0.000000,0.463578
210,0.904762,0.095238,0.000000,0.468233
211,0.928571,0.095238,0.000000,0.472338
212,0.952381,0.095238,0.000000,0.475869
213,0.976190,0.095238,0.000000,0.478799
214,1.000000,0.095238,0.000000,0.481095
215,0.000000,0.119048,0.000000,0.480018
216,0.023810,0.119048,0.000000,0.481817
217,0.047619,0.119048,0.000000,0.482563
218,0.071429,0.119048,0.000000,0.482203
219,0.095238,0.119048,0.000000,0.480705
220,0.119048,0.119048,0.000000,0.478066
221,0.142857,0.119048,0.000000,0.474312
222,0.166667,0.119048,0.000000,0.469502
223,0.190476,0.119048,0.000000,0.463727
224,0.214286,0.119048,0.000000,0.457114
225,0.238095,0.119048,0.000000,0.449815
226,0.261905,0.119048,0.000000,0.442013
227,0.285714,0.119048,0.000000,0.433910
228,0.309524,0.119048,0.000000,0.425720
229,0.333333,0.119048,0.000000,0.417664
230,0.357143,0.119048,0.000000,0.409961
231,0.380952,0.119048,0.000000,0.402819
232,0.404762,0.119048,0.000000,0.396426
233,0.428571,0.119048,0.000000,0.390945
234,0.452381,0.119048,0.000000,0.386510
235,0.476190,0.119048,0.000000,0.383216
236,0.500000,0.119048,0.000000,0.381127
237,0.523810,0.119048,0.000000,0.380264
238,0.547619,0.119048,0.000000,0.380616
239,0.571429,0.119048,0.000000,0.382139
240,0.595238,0.119048,0.000000,0.384760
241,0.619048,0.119048,0.000000,0.388383
242,0.642857,0.119048,0.000000,0.392895
243,0.666667,0.119048,0.000000,0.398169
244,0.690476,0.119048,0.000000,0.404072
