x,y,z,water,no3,na
0.000000,0.000000,0.000000,17.12551081,0.00305000,-0.00021834
0.161290,0.000000,0.000000,17.24683708,0.00309851,-0.00026500
0.322581,0.000000,0.000000,17.29432525,0.00311630,-0.00029942
0.483871,0.000000,0.000000,17.12802853,0.00307833,-0.00030418
0.645161,0.000000,0.000000,17.28686179,0.00311228,-0.00031321
0.806452,0.000000,0.000000,17.59009912,0.00318974,-0.00032382
0.967742,0.000000,0.000000,17.62310642,0.00324834,-0.00032987
1.129032,0.000000,0.000000,17.66614786,0.00314948,-0.00034368
1.290323,0.000000,0.000000,17.77648735,0.00322007,-0.00034850
1.451613,0.000000,0.000000,17.33419234,0.00311664,-0.00034990
1.612903,0.000000,0.000000,17.40685366,0.00314987,-0.00035872
1.774194,0.000000,0.000000,17.42552278,0.00316178,-0.00036576
1.935484,0.000000,0.000000,17.18513493,0.00310153,-0.00036914
2.096774,0.000000,0.000000,17.33747611,0.00313415,-0.00037899
2.258065,0.000000,0.000000,17.68231622,0.00321339,-0.00039101
2.419355,0.000000,0.000000,17.63309517,0.00326095,-0.00039558
2.580645,0.000000,0.000000,17.66614786,0.00315790,-0.00041056
2.741935,0.000000,0.000000,17.77648735,0.00322851,-0.00041478
2.903226,0.000000,0.000000,17.33419234,0.00312479,-0.00041489
3.064516,0.000000,0.000000,17.40685366,0.00315806,-0.00042368
3.225806,0.000000,0.000000,17.42552278,0.00316996,-0.00043032
3.387097,0.000000,0.000000,17.18513493,0.00310949,-0.00043248
3.548387,0.000000,0.000000,17.33747611,0.00314213,-0.00044225
3.709677,0.000000,0.000000,17.68231622,0.00322147,-0.00045426
3.870968,0.000000,0.000000,17.63309517,0.00326906,-0.00045766
4.032258,0.000000,0.000000,17.66614786,0.00316563,-0.00047279
4.193548,0.000000,0.000000,17.77648735,0.00323628,-0.00047560
4.354839,0.000000,0.000000,17.33419234,0.00313215,-0.00047340
4.516129,0.000000,0.000000,17.40685366,0.00316536,-0.00048130
4.677419,0.000000,0.000000,17.42552278,0.00315491,-0.00034160
4.838710,0.000000,0.000000,17.18513493,0.00307198,-0.00019837
5.000000,0.000000,0.000000,16.66413898,0.00292263,-0.00018728
0.000000,0.161290,0.000000,17.61643252,0.00322131,-0.00021011
0.161290,0.161290,0.000000,17.94981013,0.00330768,-0.00013483
0.322581,0.161290,0.000000,17.97119220,0.00336620,-0.00013709
0.483871,0.161290,0.000000,17.94563341,0.00334827,-0.00014036
0.645161,0.161290,0.000000,18.65243886,0.00362801,-0.00014716
0.806452,0.161290,0.000000,18.67712262,0.00345688,-0.00015349
