x,y,z,water,rho1,rho2
0.000000,0.000000,0.000000,17.12551081,0.00305000,-0.00021834
0.000000,0.000000,0.161290,17.24683708,0.00309851,-0.00026500
0.000000,0.000000,0.322581,17.29432525,0.00311630,-0.00029942
0.000000,0.000000,0.483871,17.12802853,0.00307833,-0.00030418
0.000000,0.000000,0.645161,17.28686179,0.00311228,-0.00031321
0.000000,0.000000,0.806452,17.59009912,0.00318974,-0.00032382
0.000000,0.000000,0.967742,17.62310642,0.00324834,-0.00032987
0.000000,0.000000,1.129032,17.66614786,0.00314948,-0.00034368
0.000000,0.000000,1.290323,17.77648735,0.00322007,-0.00034850
0.000000,0.000000,1.451613,17.33419234,0.00311664,-0.00034990
0.000000,0.000000,1.612903,17.40685366,0.00314987,-0.00035872
0.000000,0.000000,1.774194,17.42552278,0.00316178,-0.00036576
0.000000,0.000000,1.935484,17.18513493,0.00310153,-0.00036914
0.000000,0.000000,2.096774,17.33747611,0.00313415,-0.00037899
0.000000,0.000000,2.258065,17.68231622,0.00321339,-0.00039101
0.000000,0.000000,2.419355,17.63309517,0.00326095,-0.00039558
0.000000,0.000000,2.580645,17.66614786,0.00315790,-0.00041056
0.000000,0.000000,2.741935,17.77648735,0.00322851,-0.00041478
0.000000,0.000000,2.903226,17.33419234,0.00312479,-0.00041489
0.000000,0.000000,3.064516,17.40685366,0.00315806,-0.00042368
0.000000,0.000000,3.225806,17.42552278,0.00316996,-0.00043032
0.000000,0.000000,3.387097,17.18513493,0.00310949,-0.00043248
0.000000,0.000000,3.548387,17.33747611,0.00314213,-0.00044225
0.000000,0.000000,3.709677,17.68231622,0.00322147,-0.00045426
0.000000,0.000000,3.870968,17.63309517,0.00326906,-0.00045766
0.000000,0.000000,4.032258,17.66614786,0.00316563,-0.00047279
0.000000,0.000000,4.193548,17.77648735,0.00323628,-0.00047560
0.000000,0.000000,4.354839,17.33419234,0.00313215,-0.00047340
0.000000,0.000000,4.516129,17.40685366,0.00316536,-0.00048130
0.000000,0.000000,4.677419,17.42552278,0.00315491,-0.00034160
0.000000,0.000000,4.838710,17.18513493,0.00307198,-0.00019837
