x,y,z,value1,value2,value3    
0,0,0,-0.977764E-01,0.586929E-02,0.612296E-02
1,0,0,-0.111669E+00,0.704016E-02,0.665300E-02
2,0,0,-0.120664E+00,0.689338E-02,0.114540E-01
3,0,0,-0.143381E+00,0.785855E-01,0.114988E-01
4,0,0,-0.166729E+00,0.183638E-01,0.481429E-01
5,0,0,-0.200095E+00,0.190391E-02,0.287875E-01
6,0,0,-0.220706E+00,0.715882E-01,0.345135E-01
7,0,0,-0.266778E+00,0.898438E-01,0.642697E-01
8,0,0,-0.278794E+00,0.155255E-01,0.423434E-01
9,0,0,-0.285611E+00,0.359591E-02,0.410190E-01
10,0,0,-0.282366E+00,0.256573E-02,0.453588E-01
11,0,0,-0.263901E+00,0.762191E-01,0.454337E-01
12,0,0,-0.246148E+00,0.200837E-02,0.482946E-01
13,0,0,-0.237145E+00,0.125867E+00,0.582886E-01
14,0,0,-0.185091E+00,0.197483E-01,0.153464E-01
15,0,0,-0.237145E+00,0.125866E+00,0.582886E-01
16,0,0,-0.246148E+00,0.200838E-02,0.482946E-01
17,0,0,-0.263901E+00,0.762188E-01,0.454337E-01
18,0,0,-0.282366E+00,0.256574E-02,0.453588E-01
19,0,0,-0.285611E+00,0.359591E-02,0.410190E-01
20,0,0,-0.278794E+00,0.155252E-01,0.423434E-01
21,0,0,-0.266778E+00,0.898433E-01,0.642698E-01
22,0,0,-0.220706E+00,0.715880E-01,0.345135E-01
23,0,0,-0.200095E+00,0.190391E-02,0.287876E-01
24,0,0,-0.166729E+00,0.183637E-01,0.481430E-01
25,0,0,-0.143381E+00,0.785851E-01,0.114988E-01
26,0,0,-0.120664E+00,0.689335E-02,0.114541E-01
27,0,0,-0.111669E+00,0.704015E-02,0.665301E-02
0,1,0,-0.111669E+00,0.704015E-02,0.665301E-02
1,1,0,-0.119136E+00,0.725531E-02,0.926209E-02
2,1,0,-0.137064E+00,0.151731E-01,0.105851E-01
3,1,0,-0.168709E+00,0.274698E-01,0.799587E-01
4,1,0,-0.196122E+00,0.963384E-01,0.263238E-01
5,1,0,-0.232619E+00,0.625420E-01,0.344571E-01
6,1,0,-0.277980E+00,0.165515E+00,0.505386E-01
7,1,0,-0.295036E+00,0.815082E-01,0.318857E-01
8,1,0,-0.310348E+00,0.899066E-01,0.335009E-01
9,1,0,-0.304555E+00,0.861983E-01,0.320012E-01
10,1,0,-0.279781E+00,0.897859E-01,0.308653E-01
11,1,0,-0.258190E+00,0.639914E-01,0.342488E-01
12,1,0,-0.252837E+00,0.000000E+00,0.675976E-01
13,1,0,-0.199418E+00,0.216768E-01,0.180069E-01
14,1,0,-0.220674E+00,0.821785E-01,0.521764E-01
15,1,0,-0.219881E+00,0.509522E-01,0.318851E-01
16,1,0,-0.253365E+00,0.569945E-01,0.578382E-01
