,x,y,z,value
0,0.000000,0.000000,0.000000,0.606599
1,0.050000,0.000000,0.000000,0.607303
2,0.100000,0.000000,0.000000,0.609236
3,0.150000,0.000000,0.000000,0.611757
4,0.200000,0.000000,0.000000,0.614058
5,0.250000,0.000000,0.000000,0.615149
6,0.300000,0.000000,0.000000,0.614661
7,0.350000,0.000000,0.000000,0.612869
8,0.400000,0.000000,0.000000,0.610592
9,0.450000,0.000000,0.000000,0.608742
10,0.500000,0.000000,0.000000,0.608001
11,0.550000,0.000000,0.000000,0.608742
12,0.600000,0.000000,0.000000,0.610592
13,0.650000,0.000000,0.000000,0.612869
14,0.700000,0.000000,0.000000,0.614660
15,0.750000,0.000000,0.000000,0.615149
16,0.800000,0.000000,0.000000,0.614058
17,0.850000,0.000000,0.000000,0.611759
18,0.900000,0.000000,0.000000,0.609239
19,0.950000,0.000000,0.000000,0.607305
20,1.000000,0.000000,0.000000,0.606599
21,1.050000,0.000000,0.000000,0.607303
22,1.100000,0.000000,0.000000,0.609236
23,1.150000,0.000000,0.000000,0.611757
24,1.200000,0.000000,0.000000,0.614058
25,1.250000,0.000000,0.000000,0.615149
26,1.300000,0.000000,0.000000,0.614661
27,1.350000,0.000000,0.000000,0.612869
28,1.400000,0.000000,0.000000,0.610592
29,1.450000,0.000000,0.000000,0.608742
30,1.500000,0.000000,0.000000,0.608001
31,1.550000,0.000000,0.000000,0.608742
32,1.600000,0.000000,0.000000,0.610592
33,1.650000,0.000000,0.000000,0.612869
34,1.700000,0.000000,0.000000,0.614660
35,1.750000,0.000000,0.000000,0.615149
36,1.800000,0.000000,0.000000,0.614058
37,1.850000,0.000000,0.000000,0.611759
38,1.900000,0.000000,0.000000,0.609239
39,1.950000,0.000000,0.000000,0.607305
40,2.000000,0.000000,0.000000,0.606599
41,0.000000,0.050000,0.000000,0.607306
42,0.050000,0.050000,0.000000,0.601220
43,0.100000,0.050000,0.000000,0.600899
44,0.150000,0.050000,0.000000,0.602891
45,0.200000,0.050000,0.000000,0.605357
46,0.250000,0.050000,0.000000,0.607218
47,0.300000,0.050000,0.000000,0.607658
48,0.350000,0.050000,0.000000,0.606469
49,0.400000,0.050000,0.000000,0.604375
50,0.450000,0.050000,0.000000,0.602390
51,0.500000,0.050000,0.000000,0.603334
52,0.550000,0.050000,0.000000,0.607393
53,0.600000,0.050000,0.000000,0.611306
54,0.650000,0.050000,0.000000,0.613155
55,0.700000,0.050000,0.000000,0.614760
56,0.750000,0.050000,0.000000,0.615262
57,0.800000,0.050000,0.000000,0.614326
58,0.850000,0.050000,0.000000,0.612217
59,0.900000,0.050000,0.000000,0.609795
60,0.950000,0.050000,0.000000,0.607959
61,1.000000,0.050000,0.000000,0.607306
62,1.050000,0.050000,0.000000,0.601220
63,1.100000,0.050000,0.000000,0.600899
64,1.150000,0.050000,0.000000,0.602891
65,1.200000,0.050000,0.000000,0.605357
66,1.250000,0.050000,0.000000,0.607218
67,1.300000,0.050000,0.000000,0.607658
68,1.350000,0.050000,0.000000,0.606469
69,1.400000,0.050000,0.000000,0.604375
70,1.450000,0.050000,0.000000,0.602390
71,1.500000,0.050000,0.000000,0.603334
72,1.550000,0.050000,0.000000,0.607393
73,1.600000,0.050000,0.000000,0.611306
74,1.650000,0.050000,0.000000,0.613155
75,1.700000,0.050000,0.000000,0.614760
76,1.750000,0.050000,0.000000,0.615262
77,1.800000,0.050000,0.000000,0.614326
78,1.850000,0.050000,0.000000,0.612217
79,1.900000,0.050000,0.000000,0.609795
80,1.950000,0.050000,0.000000,0.607959
81,2.000000,0.050000,0.000000,0.607306
82,0.000000,0.100000,0.000000,0.609241
83,0.050000,0.100000,0.000000,0.600899
84,0.100000,0.100000,0.000000,0.586070
85,0.150000,0.100000,0.000000,0.583713
86,0.200000,0.100000,0.000000,0.585318
87,0.250000,0.100000,0.000000,0.587450
88,0.300000,0.100000,0.000000,0.588685
89,0.350000,0.100000,0.000000,0.588141
90,0.400000,0.100000,0.000000,0.586027
91,0.450000,0.100000,0.000000,0.584414
92,0.500000,0.100000,0.000000,0.589126
93,0.550000,0.100000,0.000000,0.595757
94,0.600000,0.100000,0.000000,0.604283
95,0.650000,0.100000,0.000000,0.614109
96,0.700000,0.100000,0.000000,0.617675
97,0.750000,0.100000,0.000000,0.617684
98,0.800000,0.100000,0.000000,0.616400
99,0.850000,0.100000,0.000000,0.614108
100,0.900000,0.100000,0.000000,0.611630
101,0.950000,0.100000,0.000000,0.609795
102,1.000000,0.100000,0.000000,0.609241
103,1.050000,0.100000,0.000000,0.600899
104,1.100000,0.100000,0.000000,0.586070
105,1.150000,0.100000,0.000000,0.583713
106,1.200000,0.100000,0.000000,0.585318
107,1.250000,0.100000,0.000000,0.587450
108,1.300000,0.100000,0.000000,0.588685
109,1.350000,0.100000,0.000000,0.588141
110,1.400000,0.100000,0.000000,0.586027
111,1.450000,0.100000,0.000000,0.584414
112,1.500000,0.100000,0.000000,0.589126
113,1.550000,0.100000,0.000000,0.595757
114,1.600000,0.100000,0.000000,0.604283
115,1.650000,0.100000,0.000000,0.614109
116,1.700000,0.100000,0.000000,0.617675
117,1.750000,0.100000,0.000000,0.617684
118,1.800000,0.100000,0.000000,0.616400
119,1.850000,0.100000,0.000000,0.614108
120,1.900000,0.100000,0.000000,0.611630
121,1.950000,0.100000,0.000000,0.609795
122,2.000000,0.100000,0.000000,0.609241
123,0.000000,0.150000,0.000000,0.611761
124,0.050000,0.150000,0.000000,0.602891
125,0.100000,0.150000,0.000000,0.583713
126,0.150000,0.150000,0.000000,0.563365
127,0.200000,0.150000,0.000000,0.559613
128,0.250000,0.150000,0.000000,0.560608
129,0.300000,0.150000,0.000000,0.561964
130,0.350000,0.150000,0.000000,0.561913
131,0.400000,0.150000,0.000000,0.559867
132,0.450000,0.150000,0.000000,0.563227
133,0.500000,0.150000,0.000000,0.569159
134,0.550000,0.150000,0.000000,0.577171
135,0.600000,0.150000,0.000000,0.587608
136,0.650000,0.150000,0.000000,0.600021
137,0.700000,0.150000,0.000000,0.613415
138,0.750000,0.150000,0.000000,0.621983
139,0.800000,0.150000,0.000000,0.619828
140,0.850000,0.150000,0.000000,0.616908
141,0.900000,0.150000,0.000000,0.614108
142,0.950000,0.150000,0.000000,0.612217
143,1.000000,0.150000,0.000000,0.611761
144,1.050000,0.150000,0.000000,0.602891
145,1.100000,0.150000,0.000000,0.583713
146,1.150000,0.150000,0.000000,0.563365
147,1.200000,0.150000,0.000000,0.559613
148,1.250000,0.150000,0.000000,0.560608
149,1.300000,0.150000,0.000000,0.561964
150,1.350000,0.150000,0.000000,0.561913
151,1.400000,0.150000,0.000000,0.559867
152,1.450000,0.150000,0.000000,0.563227
153,1.500000,0.150000,0.000000,0.569159
154,1.550000,0.150000,0.000000,0.577171
155,1.600000,0.150000,0.000000,0.587608
156,1.650000,0.150000,0.000000,0.600021
157,1.700000,0.150000,0.000000,0.613415
158,1.750000,0.150000,0.000000,0.621983
159,1.800000,0.150000,0.000000,0.619828
160,1.850000,0.150000,0.000000,0.616908
161,1.900000,0.150000,0.000000,0.614108
162,1.950000,0.150000,0.000000,0.612217
163,2.000000,0.150000,0.000000,0.611761
164,0.000000,0.200000,0.000000,0.614061
165,0.050000,0.200000,0.000000,0.605357
166,0.100000,0.200000,0.000000,0.585318
167,0.150000,0.200000,0.000000,0.559613
168,0.200000,0.200000,0.000000,0.535416
169,0.250000,0.200000,0.000000,0.532142
170,0.300000,0.200000,0.000000,0.532349
171,0.350000,0.200000,0.000000,0.532373
172,0.400000,0.200000,0.000000,0.535165
173,0.450000,0.200000,0.000000,0.540789
174,0.500000,0.200000,0.000000,0.547260
175,0.550000,0.200000,0.000000,0.555849
176,0.600000,0.200000,0.000000,0.567196
177,0.650000,0.200000,0.000000,0.581039
178,0.700000,0.200000,0.000000,0.596676
179,0.750000,0.200000,0.000000,0.612634
180,0.800000,0.200000,0.000000,0.623823
181,0.850000,0.200000,0.000000,0.619829
182,0.900000,0.200000,0.000000,0.616400
183,0.950000,0.200000,0.000000,0.614326
184,1.000000,0.200000,0.000000,0.614061
185,1.050000,0.200000,0.000000,0.605357
186,1.100000,0.200000,0.000000,0.585318
187,1.150000,0.200000,0.000000,0.559613
188,1.200000,0.200000,0.000000,0.535416
189,1.250000,0.200000,0.000000,0.532142
190,1.300000,0.200000,0.000000,0.532349
191,1.350000,0.200000,0.000000,0.532373
192,1.400000,0.200000,0.000000,0.535165
193,1.450000,0.200000,0.000000,0.540789
194,1.500000,0.200000,0.000000,0.547260
195,1.550000,0.200000,0.000000,0.555849
196,1.600000,0.200000,0.000000,0.567196
197,1.650000,0.200000,0.000000,0.581039
198,1.700000,0.200000,0.000000,0.596676
199,1.750000,0.200000,0.000000,0.612634
200,1.800000,0.200000,0.000000,0.623823
201,1.850000,0.200000,0.000000,0.619829
202,1.900000,0.200000,0.000000,0.616400
203,1.950000,0.200000,0.000000,0.614326
204,2.000000,0.200000,0.000000,0.614061
205,0.000000,0.250000,0.000000,0.615152
206,0.050000,0.250000,0.000000,0.607218
207,0.100000,0.250000,0.000000,0.587450
208,0.150000,0.250000,0.000000,0.560608
209,0.200000,0.250000,0.000000,0.532142
210,0.250000,0.250000,0.000000,0.509630
211,0.300000,0.250000,0.000000,0.505884
212,0.350000,0.250000,0.000000,0.506832
213,0.400000,0.250000,0.000000,0.513006
214,0.450000,0.250000,0.000000,0.519481
215,0.500000,0.250000,0.000000,0.526220
216,0.550000,0.250000,0.000000,0.534812
217,0.600000,0.250000,0.000000,0.546224
218,0.650000,0.250000,0.000000,0.560613
219,0.700000,0.250000,0.000000,0.577423
220,0.750000,0.250000,0.000000,0.595421
221,0.800000,0.250000,0.000000,0.612634
222,0.850000,0.250000,0.000000,0.621983
223,0.900000,0.250000,0.000000,0.617684
224,0.950000,0.250000,0.000000,0.615262
225,1.000000,0.250000,0.000000,0.615152
226,1.050000,0.250000,0.000000,0.607218
227,1.100000,0.250000,0.000000,0.587450
228,1.150000,0.250000,0.000000,0.560608
229,1.200000,0.250000,0.000000,0.532142
230,1.250000,0.250000,0.000000,0.509630
231,1.300000,0.250000,0.000000,0.505884
232,1.350000,0.250000,0.000000,0.506832
233,1.400000,0.250000,0.000000,0.513006
234,1.450000,0.250000,0.000000,0.519481
235,1.500000,0.250000,0.000000,0.526220
236,1.550000,0.250000,0.000000,0.534812
237,1.600000,0.250000,0.000000,0.546224
238,1.650000,0.250000,0.000000,0.560613
239,1.700000,0.250000,0.000000,0.577423
240,1.750000,0.250000,0.000000,0.595421
241,1.800000,0.250000,0.000000,0.612634
242,1.850000,0.250000,0.000000,0.621983
243,1.900000,0.250000,0.000000,0.617684
244,1.950000,0.250000,0.000000,0.615262
245,2.000000,0.250000,0.000000,0.615152
246,0.000000,0.300000,0.000000,0.614661
247,0.050000,0.300000,0.000000,0.607659
248,0.100000,0.300000,0.000000,0.588686
249,0.150000,0.300000,0.000000,0.561964
250,0.200000,0.300000,0.000000,0.532349
251,0.250000,0.300000,0.000000,0.505883
252,0.300000,0.300000,0.000000,0.491777
253,0.350000,0.300000,0.000000,0.488801
254,0.400000,0.300000,0.000000,0.493418
255,0.450000,0.300000,0.000000,0.500613
256,0.500000,0.300000,0.000000,0.507634
257,0.550000,0.300000,0.000000,0.515904
258,0.600000,0.300000,0.000000,0.526940
259,0.650000,0.300000,0.000000,0.541203
260,0.700000,0.300000,0.000000,0.558353
261,0.750000,0.300000,0.000000,0.577423
262,0.800000,0.300000,0.000000,0.596677
263,0.850000,0.300000,0.000000,0.613415
264,0.900000,0.300000,0.000000,0.617675
265,0.950000,0.300000,0.000000,0.614760
266,1.000000,0.300000,0.000000,0.614661
267,1.050000,0.300000,0.000000,0.607659
268,1.100000,0.300000,0.000000,0.588686
269,1.150000,0.300000,0.000000,0.561964
270,1.200000,0.300000,0.000000,0.532349
271,1.250000,0.300000,0.000000,0.505883
272,1.300000,0.300000,0.000000,0.491777
273,1.350000,0.300000,0.000000,0.488801
274,1.400000,0.300000,0.000000,0.493418
275,1.450000,0.300000,0.000000,0.500613
276,1.500000,0.300000,0.000000,0.507634
277,1.550000,0.300000,0.000000,0.515904
278,1.600000,0.300000,0.000000,0.526940
279,1.650000,0.300000,0.000000,0.541203
280,1.700000,0.300000,0.000000,0.558353
281,1.750000,0.300000,0.000000,0.577423
282,1.800000,0.300000,0.000000,0.596677
283,1.850000,0.300000,0.000000,0.613415
284,1.900000,0.300000,0.000000,0.617675
285,1.950000,0.300000,0.000000,0.614760
286,2.000000,0.300000,0.000000,0.614661
287,0.000000,0.350000,0.000000,0.612874
288,0.050000,0.350000,0.000000,0.606470
289,0.100000,0.350000,0.000000,0.588141
290,0.150000,0.350000,0.000000,0.561913
291,0.200000,0.350000,0.000000,0.532374
292,0.250000,0.350000,0.000000,0.506829
293,0.300000,0.350000,0.000000,0.488801
294,0.350000,0.350000,0.000000,0.478699
295,0.400000,0.350000,0.000000,0.478402
296,0.450000,0.350000,0.000000,0.485006
297,0.500000,0.350000,0.000000,0.492544
298,0.550000,0.350000,0.000000,0.500281
299,0.600000,0.350000,0.000000,0.510557
300,0.650000,0.350000,0.000000,0.524259
301,0.700000,0.350000,0.000000,0.541203
302,0.750000,0.350000,0.000000,0.560613
303,0.800000,0.350000,0.000000,0.581040
304,0.850000,0.350000,0.000000,0.600021
305,0.900000,0.350000,0.000000,0.614109
306,0.950000,0.350000,0.000000,0.613155
307,1.000000,0.350000,0.000000,0.612874
308,1.050000,0.350000,0.000000,0.606470
309,1.100000,0.350000,0.000000,0.588141
310,1.150000,0.350000,0.000000,0.561913
311,1.200000,0.350000,0.000000,0.532374
312,1.250000,0.350000,0.000000,0.506829
313,1.300000,0.350000,0.000000,0.488801
314,1.350000,0.350000,0.000000,0.478699
315,1.400000,0.350000,0.000000,0.478402
316,1.450000,0.350000,0.000000,0.485006
317,1.500000,0.350000,0.000000,0.492544
318,1.550000,0.350000,0.000000,0.500281
319,1.600000,0.350000,0.000000,0.510557
320,1.650000,0.350000,0.000000,0.524259
321,1.700000,0.350000,0.000000,0.541203
322,1.750000,0.350000,0.000000,0.560613
323,1.800000,0.350000,0.000000,0.581040
324,1.850000,0.350000,0.000000,0.600021
325,1.900000,0.350000,0.000000,0.614109
326,1.950000,0.350000,0.000000,0.613155
327,2.000000,0.350000,0.000000,0.612874
328,0.000000,0.400000,0.000000,0.610594
329,0.050000,0.400000,0.000000,0.604378
330,0.100000,0.400000,0.000000,0.586027
331,0.150000,0.400000,0.000000,0.559867
332,0.200000,0.400000,0.000000,0.535165
333,0.250000,0.400000,0.000000,0.513005
334,0.300000,0.400000,0.000000,0.493418
335,0.350000,0.400000,0.000000,0.478402
336,0.400000,0.400000,0.000000,0.471190
337,0.450000,0.400000,0.000000,0.473816
338,0.500000,0.400000,0.000000,0.481548
339,0.550000,0.400000,0.000000,0.488638
340,0.600000,0.400000,0.000000,0.497771
341,0.650000,0.400000,0.000000,0.510557
342,0.700000,0.400000,0.000000,0.526940
343,0.750000,0.400000,0.000000,0.546224
344,0.800000,0.400000,0.000000,0.567196
345,0.850000,0.400000,0.000000,0.587608
346,0.900000,0.400000,0.000000,0.604283
347,0.950000,0.400000,0.000000,0.611306
348,1.000000,0.400000,0.000000,0.610594
349,1.050000,0.400000,0.000000,0.604378
350,1.100000,0.400000,0.000000,0.586027
351,1.150000,0.400000,0.000000,0.559867
352,1.200000,0.400000,0.000000,0.535165
353,1.250000,0.400000,0.000000,0.513005
354,1.300000,0.400000,0.000000,0.493418
355,1.350000,0.400000,0.000000,0.478402
356,1.400000,0.400000,0.000000,0.471190
357,1.450000,0.400000,0.000000,0.473816
358,1.500000,0.400000,0.000000,0.481548
359,1.550000,0.400000,0.000000,0.488638
360,1.600000,0.400000,0.000000,0.497771
361,1.650000,0.400000,0.000000,0.510557
362,1.700000,0.400000,0.000000,0.526940
363,1.750000,0.400000,0.000000,0.546224
364,1.800000,0.400000,0.000000,0.567196
365,1.850000,0.400000,0.000000,0.587608
366,1.900000,0.400000,0.000000,0.604283
367,1.950000,0.400000,0.000000,0.611306
368,2.000000,0.400000,0.000000,0.610594
369,0.000000,0.450000,0.000000,0.608742
370,0.050000,0.450000,0.000000,0.602391
371,0.100000,0.450000,0.000000,0.584414
372,0.150000,0.450000,0.000000,0.563227
373,0.200000,0.450000,0.000000,0.540789
374,0.250000,0.450000,0.000000,0.519481
375,0.300000,0.450000,0.000000,0.500613
376,0.350000,0.450000,0.000000,0.485005
377,0.400000,0.450000,0.000000,0.473816
378,0.450000,0.450000,0.000000,0.469992
379,0.500000,0.450000,0.000000,0.475364
380,0.550000,0.450000,0.000000,0.481200
381,0.600000,0.450000,0.000000,0.488638
382,0.650000,0.450000,0.000000,0.500281
383,0.700000,0.450000,0.000000,0.515904
384,0.750000,0.450000,0.000000,0.534813
385,0.800000,0.450000,0.000000,0.555849
386,0.850000,0.450000,0.000000,0.577171
387,0.900000,0.450000,0.000000,0.595757
388,0.950000,0.450000,0.000000,0.607393
389,1.000000,0.450000,0.000000,0.608742
390,1.050000,0.450000,0.000000,0.602391
391,1.100000,0.450000,0.000000,0.584414
392,1.150000,0.450000,0.000000,0.563227
393,1.200000,0.450000,0.000000,0.540789
394,1.250000,0.450000,0.000000,0.519481
395,1.300000,0.450000,0.000000,0.500613
396,1.350000,0.450000,0.000000,0.485005
397,1.400000,0.450000,0.000000,0.473816
398,1.450000,0.450000,0.000000,0.469992
399,1.500000,0.450000,0.000000,0.475364
400,1.550000,0.450000,0.000000,0.481200
401,1.600000,0.450000,0.000000,0.488638
402,1.650000,0.450000,0.000000,0.500281
403,1.700000,0.450000,0.000000,0.515904
404,1.750000,0.450000,0.000000,0.534813
405,1.800000,0.450000,0.000000,0.555849
406,1.850000,0.450000,0.000000,0.577171
407,1.900000,0.450000,0.000000,0.595757
408,1.950000,0.450000,0.000000,0.607393
409,2.000000,0.450000,0.000000,0.608742
410,0.000000,0.500000,0.000000,0.608007
411,0.050000,0.500000,0.000000,0.603335
412,0.100000,0.500000,0.000000,0.589126
413,0.150000,0.500000,0.000000,0.569158
414,0.200000,0.500000,0.000000,0.547260
415,0.250000,0.500000,0.000000,0.526221
416,0.300000,0.500000,0.000000,0.507634
417,0.350000,0.500000,0.000000,0.492543
418,0.400000,0.500000,0.000000,0.481548
419,0.450000,0.500000,0.000000,0.475363
420,0.500000,0.500000,0.000000,0.475573
421,0.550000,0.500000,0.000000,0.475363
422,0.600000,0.500000,0.000000,0.481548
423,0.650000,0.500000,0.000000,0.492544
424,0.700000,0.500000,0.000000,0.507634
425,0.750000,0.500000,0.000000,0.526221
426,0.800000,0.500000,0.000000,0.547260
427,0.850000,0.500000,0.000000,0.569158
428,0.900000,0.500000,0.000000,0.589126
429,0.950000,0.500000,0.000000,0.603334
430,1.000000,0.500000,0.000000,0.608007
431,1.050000,0.500000,0.000000,0.603335
432,1.100000,0.500000,0.000000,0.589126
433,1.150000,0.500000,0.000000,0.569158
434,1.200000,0.500000,0.000000,0.547260
435,1.250000,0.500000,0.000000,0.526221
436,1.300000,0.500000,0.000000,0.507634
437,1.350000,0.500000,0.000000,0.492543
438,1.400000,0.500000,0.000000,0.481548
439,1.450000,0.500000,0.000000,0.475363
440,1.500000,0.500000,0.000000,0.475573
441,1.550000,0.500000,0.000000,0.475363
442,1.600000,0.500000,0.000000,0.481548
443,1.650000,0.500000,0.000000,0.492544
444,1.700000,0.500000,0.000000,0.507634
445,1.750000,0.500000,0.000000,0.526221
446,1.800000,0.500000,0.000000,0.547260
447,1.850000,0.500000,0.000000,0.569158
448,1.900000,0.500000,0.000000,0.589126
449,1.950000,0.500000,0.000000,0.603334
450,2.000000,0.500000,0.000000,0.608007
451,0.000000,0.550000,0.000000,0.608747
452,0.050000,0.550000,0.000000,0.607393
453,0.100000,0.550000,0.000000,0.595757
454,0.150000,0.550000,0.000000,0.577171
455,0.200000,0.550000,0.000000,0.555849
456,0.250000,0.550000,0.000000,0.534812
457,0.300000,0.550000,0.000000,0.515904
458,0.350000,0.550000,0.000000,0.500281
459,0.400000,0.550000,0.000000,0.488638
460,0.450000,0.550000,0.000000,0.481200
461,0.500000,0.550000,0.000000,0.475363
462,0.550000,0.550000,0.000000,0.469992
463,0.600000,0.550000,0.000000,0.473816
464,0.650000,0.550000,0.000000,0.485005
465,0.700000,0.550000,0.000000,0.500613
466,0.750000,0.550000,0.000000,0.519481
467,0.800000,0.550000,0.000000,0.540789
468,0.850000,0.550000,0.000000,0.563227
469,0.900000,0.550000,0.000000,0.584414
470,0.950000,0.550000,0.000000,0.602390
471,1.000000,0.550000,0.000000,0.608747
472,1.050000,0.550000,0.000000,0.607393
473,1.100000,0.550000,0.000000,0.595757
474,1.150000,0.550000,0.000000,0.577171
475,1.200000,0.550000,0.000000,0.555849
476,1.250000,0.550000,0.000000,0.534812
477,1.300000,0.550000,0.000000,0.515904
478,1.350000,0.550000,0.000000,0.500281
479,1.400000,0.550000,0.000000,0.488638
480,1.450000,0.550000,0.000000,0.481200
481,1.500000,0.550000,0.000000,0.475363
482,1.550000,0.550000,0.000000,0.469992
483,1.600000,0.550000,0.000000,0.473816
484,1.650000,0.550000,0.000000,0.485005
485,1.700000,0.550000,0.000000,0.500613
486,1.750000,0.550000,0.000000,0.519481
487,1.800000,0.550000,0.000000,0.540789
488,1.850000,0.550000,0.000000,0.563227
489,1.900000,0.550000,0.000000,0.584414
490,1.950000,0.550000,0.000000,0.602390
491,2.000000,0.550000,0.000000,0.608747
492,0.000000,0.600000,0.000000,0.610594
493,0.050000,0.600000,0.000000,0.611306
494,0.100000,0.600000,0.000000,0.604283
495,0.150000,0.600000,0.000000,0.587608
496,0.200000,0.600000,0.000000,0.567196
497,0.250000,0.600000,0.000000,0.546224
498,0.300000,0.600000,0.000000,0.526940
499,0.350000,0.600000,0.000000,0.510557
500,0.400000,0.600000,0.000000,0.497771
501,0.450000,0.600000,0.000000,0.488638
502,0.500000,0.600000,0.000000,0.481548
503,0.550000,0.600000,0.000000,0.473816
504,0.600000,0.600000,0.000000,0.471190
505,0.650000,0.600000,0.000000,0.478402
506,0.700000,0.600000,0.000000,0.493418
507,0.750000,0.600000,0.000000,0.513005
508,0.800000,0.600000,0.000000,0.535165
509,0.850000,0.600000,0.000000,0.559867
510,0.900000,0.600000,0.000000,0.586027
511,0.950000,0.600000,0.000000,0.604375
512,1.000000,0.600000,0.000000,0.610594
513,1.050000,0.600000,0.000000,0.611306
514,1.100000,0.600000,0.000000,0.604283
515,1.150000,0.600000,0.000000,0.587608
516,1.200000,0.600000,0.000000,0.567196
517,1.250000,0.600000,0.000000,0.546224
518,1.300000,0.600000,0.000000,0.526940
519,1.350000,0.600000,0.000000,0.510557
520,1.400000,0.600000,0.000000,0.497771
521,1.450000,0.600000,0.000000,0.488638
522,1.500000,0.600000,0.000000,0.481548
523,1.550000,0.600000,0.000000,0.473816
524,1.600000,0.600000,0.000000,0.471190
525,1.650000,0.600000,0.000000,0.478402
526,1.700000,0.600000,0.000000,0.493418
527,1.750000,0.600000,0.000000,0.513005
528,1.800000,0.600000,0.000000,0.535165
529,1.850000,0.600000,0.000000,0.559867
530,1.900000,0.600000,0.000000,0.586027
531,1.950000,0.600000,0.000000,0.604375
532,2.000000,0.600000,0.000000,0.610594
533,0.000000,0.650000,0.000000,0.612869
534,0.050000,0.650000,0.000000,0.613155
535,0.100000,0.650000,0.000000,0.614109
536,0.150000,0.650000,0.000000,0.600021
537,0.200000,0.650000,0.000000,0.581040
538,0.250000,0.650000,0.000000,0.560613
539,0.300000,0.650000,0.000000,0.541203
540,0.350000,0.650000,0.000000,0.524259
541,0.400000,0.650000,0.000000,0.510557
542,0.450000,0.650000,0.000000,0.500281
543,0.500000,0.650000,0.000000,0.492543
544,0.550000,0.650000,0.000000,0.485005
545,0.600000,0.650000,0.000000,0.478402
546,0.650000,0.650000,0.000000,0.478699
547,0.700000,0.650000,0.000000,0.488801
548,0.750000,0.650000,0.000000,0.506833
549,0.800000,0.650000,0.000000,0.532373
550,0.850000,0.650000,0.000000,0.561913
551,0.900000,0.650000,0.000000,0.588141
552,0.950000,0.650000,0.000000,0.606469
553,1.000000,0.650000,0.000000,0.612869
554,1.050000,0.650000,0.000000,0.613155
555,1.100000,0.650000,0.000000,0.614109
556,1.150000,0.650000,0.000000,0.600021
557,1.200000,0.650000,0.000000,0.581040
558,1.250000,0.650000,0.000000,0.560613
559,1.300000,0.650000,0.000000,0.541203
560,1.350000,0.650000,0.000000,0.524259
561,1.400000,0.650000,0.000000,0.510557
562,1.450000,0.650000,0.000000,0.500281
563,1.500000,0.650000,0.000000,0.492543
564,1.550000,0.650000,0.000000,0.485005
565,1.600000,0.650000,0.000000,0.478402
566,1.650000,0.650000,0.000000,0.478699
567,1.700000,0.650000,0.000000,0.488801
568,1.750000,0.650000,0.000000,0.506833
569,1.800000,0.650000,0.000000,0.532373
570,1.850000,0.650000,0.000000,0.561913
571,1.900000,0.650000,0.000000,0.588141
572,1.950000,0.650000,0.000000,0.606469
573,2.000000,0.650000,0.000000,0.612869
574,0.000000,0.700000,0.000000,0.614664
575,0.050000,0.700000,0.000000,0.614760
576,0.100000,0.700000,0.000000,0.617675
577,0.150000,0.700000,0.000000,0.613415
578,0.200000,0.700000,0.000000,0.596677
579,0.250000,0.700000,0.000000,0.577423
580,0.300000,0.700000,0.000000,0.558353
581,0.350000,0.700000,0.000000,0.541203
582,0.400000,0.700000,0.000000,0.526940
583,0.450000,0.700000,0.000000,0.515904
584,0.500000,0.700000,0.000000,0.507634
585,0.550000,0.700000,0.000000,0.500613
586,0.600000,0.700000,0.000000,0.493418
587,0.650000,0.700000,0.000000,0.488801
588,0.700000,0.700000,0.000000,0.491777
589,0.750000,0.700000,0.000000,0.505883
590,0.800000,0.700000,0.000000,0.532349
591,0.850000,0.700000,0.000000,0.561964
592,0.900000,0.700000,0.000000,0.588685
593,0.950000,0.700000,0.000000,0.607659
594,1.000000,0.700000,0.000000,0.614664
595,1.050000,0.700000,0.000000,0.614760
596,1.100000,0.700000,0.000000,0.617675
597,1.150000,0.700000,0.000000,0.613415
598,1.200000,0.700000,0.000000,0.596677
599,1.250000,0.700000,0.000000,0.577423
600,1.300000,0.700000,0.000000,0.558353
601,1.350000,0.700000,0.000000,0.541203
602,1.400000,0.700000,0.000000,0.526940
603,1.450000,0.700000,0.000000,0.515904
604,1.500000,0.700000,0.000000,0.507634
605,1.550000,0.700000,0.000000,0.500613
606,1.600000,0.700000,0.000000,0.493418
607,1.650000,0.700000,0.000000,0.488801
608,1.700000,0.700000,0.000000,0.491777
609,1.750000,0.700000,0.000000,0.505883
610,1.800000,0.700000,0.000000,0.532349
611,1.850000,0.700000,0.000000,0.561964
612,1.900000,0.700000,0.000000,0.588685
613,1.950000,0.700000,0.000000,0.607659
