,x,y,z,value
0,0.000000,0.000000,0.000000,0.501924
1,0.050000,0.000000,0.000000,0.497314
2,0.100000,0.000000,0.000000,0.485283
3,0.150000,0.000000,0.000000,0.469388
4,0.200000,0.000000,0.000000,0.452632
5,0.250000,0.000000,0.000000,0.436766
6,0.300000,0.000000,0.000000,0.423012
7,0.350000,0.000000,0.000000,0.411970
8,0.400000,0.000000,0.000000,0.403928
9,0.450000,0.000000,0.000000,0.399001
10,0.500000,0.000000,0.000000,0.397291
11,0.550000,0.000000,0.000000,0.399001
12,0.600000,0.000000,0.000000,0.403928
13,0.650000,0.000000,0.000000,0.411970
14,0.700000,0.000000,0.000000,0.423012
15,0.750000,0.000000,0.000000,0.436766
16,0.800000,0.000000,0.000000,0.452632
17,0.850000,0.000000,0.000000,0.469388
18,0.900000,0.000000,0.000000,0.485284
19,0.950000,0.000000,0.000000,0.497314
20,1.000000,0.000000,0.000000,0.501924
21,0.000000,0.050000,0.000000,0.497315
22,0.050000,0.050000,0.000000,0.493776
23,0.100000,0.050000,0.000000,0.489117
24,0.150000,0.050000,0.000000,0.478464
25,0.200000,0.050000,0.000000,0.463336
26,0.250000,0.050000,0.000000,0.446753
27,0.300000,0.050000,0.000000,0.430672
28,0.350000,0.050000,0.000000,0.416168
29,0.400000,0.050000,0.000000,0.404098
30,0.450000,0.050000,0.000000,0.394844
31,0.500000,0.050000,0.000000,0.392462
32,0.550000,0.050000,0.000000,0.396584
33,0.600000,0.050000,0.000000,0.403936
34,0.650000,0.050000,0.000000,0.414234
35,0.700000,0.050000,0.000000,0.427216
36,0.750000,0.050000,0.000000,0.442382
37,0.800000,0.050000,0.000000,0.458908
38,0.850000,0.050000,0.000000,0.475318
39,0.900000,0.050000,0.000000,0.489327
40,0.950000,0.050000,0.000000,0.497651
41,1.000000,0.050000,0.000000,0.497315
42,0.000000,0.100000,0.000000,0.485284
43,0.050000,0.100000,0.000000,0.489117
44,0.100000,0.100000,0.000000,0.470565
45,0.150000,0.100000,0.000000,0.463428
46,0.200000,0.100000,0.000000,0.452850
47,0.250000,0.100000,0.000000,0.437645
48,0.300000,0.100000,0.000000,0.420570
49,0.350000,0.100000,0.000000,0.403658
50,0.400000,0.100000,0.000000,0.388180
51,0.450000,0.100000,0.000000,0.376810
52,0.500000,0.100000,0.000000,0.379185
53,0.550000,0.100000,0.000000,0.385200
54,0.600000,0.100000,0.000000,0.394587
55,0.650000,0.100000,0.000000,0.406951
56,0.700000,0.100000,0.000000,0.421827
57,0.750000,0.100000,0.000000,0.438477
58,0.800000,0.100000,0.000000,0.455786
59,0.850000,0.100000,0.000000,0.471897
60,0.900000,0.100000,0.000000,0.484187
61,0.950000,0.100000,0.000000,0.489327
62,1.000000,0.100000,0.000000,0.485284
63,0.000000,0.150000,0.000000,0.469384
64,0.050000,0.150000,0.000000,0.478464
65,0.100000,0.150000,0.000000,0.463428
66,0.150000,0.150000,0.000000,0.435103
67,0.200000,0.150000,0.000000,0.425757
68,0.250000,0.150000,0.000000,0.414099
69,0.300000,0.150000,0.000000,0.397605
70,0.350000,0.150000,0.000000,0.379140
71,0.400000,0.150000,0.000000,0.360953
72,0.450000,0.150000,0.000000,0.357479
73,0.500000,0.150000,0.000000,0.360717
74,0.550000,0.150000,0.000000,0.367737
75,0.600000,0.150000,0.000000,0.378396
76,0.650000,0.150000,0.000000,0.392165
77,0.700000,0.150000,0.000000,0.408464
78,0.750000,0.150000,0.000000,0.426332
79,0.800000,0.150000,0.000000,0.444444
80,0.850000,0.150000,0.000000,0.460568
81,0.900000,0.150000,0.000000,0.471897
82,0.950000,0.150000,0.000000,0.475318
83,1.000000,0.150000,0.000000,0.469384
84,0.000000,0.200000,0.000000,0.452632
85,0.050000,0.200000,0.000000,0.463336
86,0.100000,0.200000,0.000000,0.452850
87,0.150000,0.200000,0.000000,0.425757
88,0.200000,0.200000,0.000000,0.389984
89,0.250000,0.200000,0.000000,0.381275
90,0.300000,0.200000,0.000000,0.367579
91,0.350000,0.200000,0.000000,0.348785
92,0.400000,0.200000,0.000000,0.337703
93,0.450000,0.200000,0.000000,0.336808
94,0.500000,0.200000,0.000000,0.340109
95,0.550000,0.200000,0.000000,0.347460
96,0.600000,0.200000,0.000000,0.358688
97,0.650000,0.200000,0.000000,0.373164
98,0.700000,0.200000,0.000000,0.390283
99,0.750000,0.200000,0.000000,0.409037
100,0.800000,0.200000,0.000000,0.427873
101,0.850000,0.200000,0.000000,0.444444
102,0.900000,0.200000,0.000000,0.455786
103,0.950000,0.200000,0.000000,0.458908
104,1.000000,0.200000,0.000000,0.452632
105,0.000000,0.250000,0.000000,0.436766
106,0.050000,0.250000,0.000000,0.446753
107,0.100000,0.250000,0.000000,0.437646
108,0.150000,0.250000,0.000000,0.414100
